host,ip,port,protocol,title,domain,country,city,link,as_organization
https://217.172.19.192:5001,217.172.19.192,5001,https,,,RU,Moscow,https://217.172.19.192:5001,Invest Mobile LLC
https://37.194.90.108:5001,37.194.90.108,5001,https,,,RU,Novosibirsk,https://37.194.90.108:5001,Novotelecom Ltd
https://78.81.147.119:5001,78.81.147.119,5001,https,,,RU,Saint Petersburg,https://78.81.147.119:5001,Rostelecom
https://78.81.147.119:5001,78.81.147.119,5001,https,,,RU,Saint Petersburg,https://78.81.147.119:5001,Rostelecom
https://80.234.35.3:5001,80.234.35.3,5001,https,,,RU,Samara,https://80.234.35.3:5001,Rostelecom
https://78.81.147.10:5001,78.81.147.10,5001,https,,,RU,Saint Petersburg,https://78.81.147.10:5001,Rostelecom
https://78.81.147.10:5001,78.81.147.10,5001,https,,,RU,Saint Petersburg,https://78.81.147.10:5001,Rostelecom
https://77.232.55.102:5001,77.232.55.102,5001,https,,,RU,Saint Petersburg,https://77.232.55.102:5001,JSC Severen-Telecom
https://77.232.55.102:5001,77.232.55.102,5001,https,,,RU,Saint Petersburg,https://77.232.55.102:5001,JSC Severen-Telecom
https://79.136.225.118:5001,79.136.225.118,5001,https,,,RU,Tomsk,https://79.136.225.118:5001,JSC Neotelecom
https://95.154.87.112:5001,95.154.87.112,5001,https,,,RU,Vladivostok,https://95.154.87.112:5001,Octopusnet LTD
https://93.100.219.15:5003,93.100.219.15,5003,https,404 Not Found,,RU,Saint Petersburg,https://93.100.219.15:5003,SkyNet Ltd.
https://93.100.219.15:5003,93.100.219.15,5003,https,,,RU,Saint Petersburg,https://93.100.219.15:5003,SkyNet Ltd.
https://188.164.136.108:5001,188.164.136.108,5001,https,,,RU,Serpukhov,https://188.164.136.108:5001,UG-TELECOM Ltd.
https://91.219.59.179:5001,91.219.59.179,5001,https,,,RU,Nizhniy Novgorod,https://91.219.59.179:5001,Link Telecom NN Ltd.
https://178.206.233.196:5001,178.206.233.196,5001,https,,,RU,Chelny,https://178.206.233.196:5001,Pjsc tattelecom
https://178.206.233.196:5001,178.206.233.196,5001,https,,,RU,Chelny,https://178.206.233.196:5001,Pjsc tattelecom
https://178.159.40.143:5001,178.159.40.143,5001,https,,,RU,Podol'sk,https://178.159.40.143:5001,Linenet Ltd.
https://178.159.40.143:5001,178.159.40.143,5001,https,,,RU,Podol'sk,https://178.159.40.143:5001,Linenet Ltd.
https://95.66.153.160:5001,95.66.153.160,5001,https,,,RU,Vladimir,https://95.66.153.160:5001,Limited Liability Company VLADINFO
https://31.29.202.13:5001,31.29.202.13,5001,https,,,RU,Saratov,https://31.29.202.13:5001,MTS PJSC
https://31.29.202.13:5001,31.29.202.13,5001,https,,,RU,Saratov,https://31.29.202.13:5001,MTS PJSC
https://95.154.87.112:5000,95.154.87.112,5000,https,,,RU,Vladivostok,https://95.154.87.112:5000,Octopusnet LTD
https://176.213.136.196:5001,176.213.136.196,5001,https,,,RU,Rostov-na-Donu,https://176.213.136.196:5001,JSC ER-Telecom Holding
https://94.45.222.39:5001,94.45.222.39,5001,https,,,RU,Dolgoprudnyy,https://94.45.222.39:5001,PE Filimonov Boris Yurievich
https://94.45.222.39:5001,94.45.222.39,5001,https,,,RU,Dolgoprudnyy,https://94.45.222.39:5001,PE Filimonov Boris Yurievich
https://109.195.11.28:5001,109.195.11.28,5001,https,,,RU,Lipetsk,https://109.195.11.28:5001,JSC ER-Telecom Holding
https://81.23.150.113:5001,81.23.150.113,5001,https,,,RU,Kazan,https://81.23.150.113:5001,Rostelecom
https://31.31.65.139:5001,31.31.65.139,5001,https,,,RU,Elektrostal',https://31.31.65.139:5001,Flex Ltd.
https://178.216.180.9:5001,178.216.180.9,5001,https,,,RU,Krasnodar,https://178.216.180.9:5001,LLC Powernet
https://178.216.180.9:5001,178.216.180.9,5001,https,,,RU,Krasnodar,https://178.216.180.9:5001,LLC Powernet
https://178.216.180.8:5001,178.216.180.8,5001,https,,,RU,Krasnodar,https://178.216.180.8:5001,LLC Powernet
https://46.34.149.214:5001,46.34.149.214,5001,https,,,RU,Moscow,https://46.34.149.214:5001,OBIT Ltd.
https://213.27.14.144:5001,213.27.14.144,5001,https,,,RU,Rostov-na-Donu,https://213.27.14.144:5001,MTS PJSC
https://46.38.35.92:5001,46.38.35.92,5001,https,,,RU,Moscow,https://46.38.35.92:5001,OOO Suntel
https://109.68.184.34:5001,109.68.184.34,5001,https,,,RU,Moscow,https://109.68.184.34:5001,OOO Suntel
https://95.31.241.218:5001,95.31.241.218,5001,https,,,RU,Moscow,https://95.31.241.218:5001,PVimpelCom
https://176.112.237.165:5001,176.112.237.165,5001,https,,,RU,Zheleznodorozhnyy,https://176.112.237.165:5001,LLC Electron-Telecom
